Category,Num Posts,Views,Score,Favorites,Comments,Popularity,Accepted,Answer Hours,Answer Views,Difficulty,Language
Authentication,6555.0,14614317.0,11241.0,4824.0,9327.0,7.954456125840446,2613.0,1157537.1224999998,11.722519985016906,62.8032922535112,java
Cryptography,4851.0,20694689.0,11126.0,8480.0,11797.0,14.281047815247767,2457.0,676825.0397222221,8.753460515945681,53.44506211452761,java
Data Security,4660.0,16328507.0,17244.0,7360.0,11027.0,14.836928481902024,2518.0,749342.1977777778,13.7410468538838,46.55827202203102,java
Development,17067.0,60686019.0,37610.0,15021.0,32221.0,10.681943396232434,7303.0,3359430.010277778,27.537973373601673,65.81575029071476,java
General,35576.0,99233539.0,71002.0,21439.0,80931.0,9.346629053031709,17796.0,3988098.3280555564,158.14627814366756,36.941443962692716,java
Network Security,2233.0,11851442.0,6286.0,2766.0,3956.0,13.456272849901973,992.0,306694.59472222225,3.6178950882955503,57.57170189127815,java
Secure Coding,210.0,468454.0,451.0,125.0,478.0,8.975859709461714,117.0,18736.01527777778,0.7913728699517927,34.8960686347188,java
Security,35576.0,124643428.0,83958.0,38576.0,68806.0,11.475236023082132,16000.0,6268564.980277779,66.1642686866954,59.50140897008676,java
Authentication,6208.0,10990457.0,5631.0,2756.0,16411.0,6.588737057466235,2744.0,630105.3191666666,23.32021690997211,39.39272767926966,php
Cryptography,1428.0,3315102.0,2067.0,1050.0,3793.0,9.000656155279891,733.0,195004.8866666667,2.611187473454831,52.59493118756856,php
Data Security,2339.0,8522852.0,7212.0,3374.0,8554.0,15.603014981302081,1480.0,214990.7947222222,10.21753987910299,32.15738140757387,php
Development,17977.0,40048599.0,36047.0,17856.0,52203.0,10.65410088743968,9879.0,2272896.168055556,83.6883829477384,36.697759571421344,php
General,32191.0,63683908.0,36676.0,11358.0,80413.0,6.676140714167052,16729.0,3021069.2444444443,218.4728087895754,29.854462607652387,php
Network Security,4239.0,11798355.0,7306.0,2719.0,10772.0,9.403472381601045,2044.0,560239.818888889,15.227145455613307,42.41433548957222,php
Security,32191.0,74675365.0,58263.0,27755.0,91733.0,10.07801007724207,16880.0,3873236.9875000007,135.06447266588162,37.957563128673264,php
Authentication,3495.0,6362667.0,5644.0,1866.0,5859.0,7.162145741000845,1260.0,608734.0791666667,8.794555827678714,57.68950070561935,javascript
Cryptography,1719.0,4116708.0,3660.0,1337.0,3949.0,9.769819627532803,827.0,459231.4816666667,3.4036979251687067,65.45613179439016,javascript
Data Security,436.0,728762.0,209.0,110.0,1090.0,4.741342273403254,168.0,13769.097777777775,1.5793430429291655,28.2836468904167,javascript
Development,13758.0,38065343.0,36996.0,12494.0000001,31908.0000001,11.188351338508388,6694.0,2154547.4541666666,57.6448082943846,42.509743772432195,javascript
General,22624.0,55374385.0,52994.0,18422.0,49890.0,10.072843412724271,12204.0,1866359.7505555556,161.3006543887816,27.784898073209597,javascript
Network Security,2831.0,7952339.0,6135.0,1856.0,6477.0,9.775195704632324,1315.0,422607.32999999996,10.0679998547865,44.87481251631656,javascript
Security,22239.0,57225819.0,52644.0,17663.000000099997,49283.0000001,10.175608066269191,10264.0,3658889.4427777776,81.49040494494768,45.99180710819731,javascript
Authentication,4603.0,10863382.0,9052.0,3533.0,7880.0,8.83698032353445,1996.0,721740.8694444444,9.763461379488167,55.44801132757062,c#
Cryptography,2408.0,8131513.0,5965.0,2429.0,6441.0,12.256999632291555,1315.0,164201.8661111111,4.342251641695012,41.06431758772345,c#
Data Security,4406.0,12821295.0,13813.0,5326.0,11143.0,12.922939361857273,2489.0,560952.7552777777,13.59087082802917,41.805446441554366,c#
Development,7557.0,25497118.0,20091.0,6285.0,17511.0,11.466418727563738,3755.0,2053652.9324999994,14.955611356285775,65.13595523516307,c#
General,22151.0,53950331.0,43703.0,11043.0,52927.0,8.698093892824163,12480.0,2392826.1333333333,94.78606861384688,35.517996608513066,c#
Network Security,3081.0,8765455.0,6204.0,1904.0,5898.0,9.073248240417698,1465.0,447018.77277777775,6.301958733108815,53.03567413500704,c#
Secure Coding,93.0,245557.0,366.0,94.0,190.0,12.103076160443765,53.0,7490.3488888888905,0.302745820548602,35.14608781753418,c#
Security,22148.0,66324320.0,55491.0,19571.0,49063.0,11.008574953330166,11073.0,3955057.545,49.25689975915554,54.35652058162303,c#
Authentication,2915.0,4974139.0,4771.0,2144.0,4628.0,7.556971897455347,1309.0,410635.74166666664,9.613802782733723,45.64783142130995,python
Cryptography,1774.0,5469248.0,3950.0,1375.0,4061.0,10.505373183137372,882.0,172985.70916666664,3.866864188316052,44.81039572242291,python
Data Security,960.0,2477325.0,2110.0,709.0000001,1916.0,9.562150220154274,469.0,162289.4013888889,2.7624340622677823,49.35890797642975,python
Development,2097.0,5323523.0,5060.0000002,1614.0000002000002,3880.0000001,9.66435326366928,931.0,515859.60944444436,4.34051224302632,64.44854191471615,python
General,11353.0,29516616.0,23409.0,6361.0,22866.0,8.819228958019265,5864.0,904466.1372222222,68.54383312335591,29.45191466635522,python
Network Security,3607.0,10576252.0,9693.0,2997.0,6603.0,10.46305163272483,1658.0,680504.8391666666,8.892910828098778,55.01101170960763,python
Security,11353.0,28820487.0,25584.0000002,8839.000000299999,21088.000000099997,9.537102148537217,5249.0,1942275.300833333,29.47652410444265,52.234349937128975,python
Authentication,1620.0,10640502.0,7114.0,2166.0,2820.0,16.09647836671731,751.0,303204.58416666667,3.8888469316628482,55.19884584333255,bash
Cryptography,818.0,5294741.0,4360.0,1316.0,1210.0,16.927382729432374,445.0,156707.9797222222,2.3865915501374135,49.419927269660754,bash
Development,1113.0,4758236.0,4387.0000001,1533.0000002,2212.0000001,14.65514292509624,577.0,236973.94250000003,3.688026509044461,49.85881706407906,bash
General,5807.0,20764372.0,18388.0,5030.0,13213.0,12.222325709783707,3498.0,639924.0466666665,42.687520299894274,29.195763779600906,bash
Network Security,2256.0,11827909.0,5616.0,2133.0,4090.0,12.229908673617802,1044.0,547456.9405555556,5.120519223885602,61.36087169384457,bash
Security,5807.0,32521388.0,21477.000000099997,7148.000000200001,10332.0000001,14.594058466963373,2817.0,1244343.446944444,15.083984214730325,55.4025462473426,bash
Authentication,136.0,171988.0,183.0,58.0,239.0,5.975921366774921,53.0,42839.44111111111,0.19302882128407006,82.88861674430856,c++
Cryptography,983.0,1566367.0,1348.0,437.0,2499.0,7.049434176732053,499.0,151081.0125,1.7111870495892214,55.819823383823234,c++
Data Security,899.0,2504930.0,2090.0,756.0000001,2756.0,11.367789694904259,508.0,154658.94166666665,2.6421618764141916,46.96458948223492,c++
Development,247.0,577175.0,433.0,140.0,643.0,8.817320980612454,103.0,67788.11138888891,0.3062095515837424,80.97137417831554,c++
General,3136.0,6877130.0,8113.0,2159.0,10230.0,10.624370137983647,1807.0,307302.37916666665,15.236255652883544,32.71160532053538,c++
Network Security,346.0,602909.0,478.0,170.0,667.0,6.910150495086694,170.0,144653.88805555558,0.6325426068382347,77.49776328122923,c++
Secure Coding,521.0,676360.0,1002.0,275.0,1580.0,7.950988606809374,268.0,75771.98777777779,1.321972016224721,48.12046136747742,c++
Security,3132.0,6099729.0,5534.0,1836.0000001,8384.0,8.572286097806563,1601.0,636793.3825,6.807101921934183,56.77479436765665,c++
Cryptography,1276.0,3653551.0,2687.0,936.0,3445.0,10.45348991236923,663.0,217329.20249999998,2.6792209687209514,53.84543621054782,c
Data Security,245.0,611267.0,653.0,222.0,760.0,11.69261339156179,134.0,71746.38861111112,0.8406599135174655,53.8369354828111,c
Development,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,c
General,2641.0,7342592.0,7469.0,2316.0,9906.0,12.681446169074546,1474.0,235358.23305555558,14.960305567666282,30.433596817760783,c
Network Security,333.0,891747.0,588.0,243.0,632.0,8.995832289404943,149.0,138161.1563888889,0.532726189445357,83.37706930186609,c
Secure Coding,787.0,2073850.0,2667.0,993.0,2864.0,14.230033495238105,442.0,91569.7027777778,2.9081193667349785,38.273426616252095,c
Security,2641.0,7230415.0,6595.0,2394.0,7701.0,11.594283685929007,1388.0,518806.4502777778,6.960726438418753,52.14867104499233,c
Authentication,941.0,1397910.0,2784.0,1172.0,1388.0,9.479310666173257,486.0,299942.2213888889,3.0748574531289394,57.3749064173187,ruby
Cryptography,449.0,845103.0,1001.0,366.0,821.0,8.892945890554964,251.0,72370.8125,0.7128392474732214,56.63020776471812,ruby
Data Security,253.0,826579.0,1361.0,445.0,467.0,15.455545032900089,154.0,59350.05805555555,1.090075396019038,44.72202606301232,ruby
Development,431.0,844237.0,1229.0,366.0,684.0,9.314533152765813,253.0,123537.07805555555,1.5760062624961275,51.11307921648,ruby
General,2514.0,4346330.0,5970.0,1491.0,4456.0,8.105217813078628,1551.0,318835.80305555556,15.820936391783373,31.96657631440812,ruby
Network Security,440.0,1018958.0,1394.0,363.0,662.0,9.768845508555422,237.0,157201.9063888889,1.1346810115165642,63.59594873458606,ruby
Security,2514.0,4932787.0,7769.0,2712.0,4022.0,10.114211606820643,1381.0,712402.0763888889,7.588459370633892,55.494215891317914,ruby
Authentication,650.0,990830.0,961.0,491.0,947.0,7.057081694102838,333.0,47486.626111111116,1.626340984816698,38.48365184113435,objective-c
Cryptography,816.0,1904452.0,1928.0,1131.0,1713.0,11.25470454166215,447.0,189905.32277777782,1.5442427614708671,60.77636658881407,objective-c
General,2093.0,3840275.0,4397.0,1620.0,3676.0,8.508110048139402,1229.0,379499.51916666667,8.485086844833317,42.389415472075896,objective-c
Network Security,627.0,1485201.0,1807.0,752.0,1018.0,10.737661532069152,262.0,141154.21944444446,1.0007337470004614,69.62745527053687,objective-c
Security,2093.0,4380483.0,4696.0,2374.0,3678.0,9.835952061635263,1042.0,378546.1683333333,4.1713174932880275,56.69991037461113,objective-c
Authentication,341.0,493863.0,669.0,157.0,585.0,6.882839661834926,127.0,39899.46,0.8488359604546104,50.16082091113505,swift
Cryptography,530.0,695463.0,686.0,259.0,1208.0,6.595008222076701,218.0,61794.1913888889,1.0797466801850595,51.81812775430147,swift
Data Security,183.0,350074.0,445.0,155.0,398.0,9.62127370974254,66.0,52579.819166666675,0.32580916932084425,76.48700341202861,swift
Development,572.0,495729.0,798.0,272.0,1130.0,5.805339362611648,265.0,56740.2075,1.7669076864991733,41.077979279254336,swift
General,1859.0,2827971.0,3164.0,939.0,4052.0,7.306884189884302,918.0,200257.52888888892,8.407923441342252,36.4009125201891,swift
Network Security,233.0,509867.0,431.0,168.0,381.0,8.311629711889507,89.0,16530.167222222222,0.3972167386102455,47.76083086906804,swift
Security,1859.0,2544996.0,3029.0,1011.0,3702.0,7.010743808109568,765.0,227543.84527777781,4.418516235069934,50.01906057548413,swift
Authentication,941.0,3398875.0,1493.0,506.0,1783.0,8.741472421060791,423.0,108223.94166666665,1.8002066270335377,51.138746967596646,powershell
Cryptography,301.0,990045.0,557.0,171.0,566.0,8.979748478222374,162.0,68153.33583333332,0.7130587771776064,56.20881413759941,powershell
Development,400.0,1491936.0,859.0,193.0,735.0,9.179880124955043,190.0,112779.89944444445,0.9523950391374978,62.93713795198853,powershell
General,1782.0,5295480.0,3118.0,778.0,3194.0,7.986680077486485,947.0,230758.27361111113,7.541408733452733,38.61483416903913,powershell
Network Security,140.0,549709.0,394.0,146.0,229.0,11.71726672783026,65.0,52479.91833333333,0.13207315580311066,94.9433223282553,powershell
Security,1782.0,6430565.0,3303.0,1016.0,3313.0,9.176150180493782,840.0,341637.09527777776,3.5977335991517525,58.62121435835465,powershell
Authentication,69.0,117331.0,51.0,16.0,161.0,5.106614934267092,28.0,5583.325000000002,0.15172054801284846,44.92759677937843,perl
Cryptography,206.0,433941.0,443.0,112.0,462.0,8.620974929076294,124.0,13454.692499999997,0.6169969072776261,33.08862915306095,perl
Data Security,214.0,314842.0,322.0,109.0,511.0,7.203361489699003,114.0,17879.778333333332,0.7081783389287238,36.18896294157539,perl
Development,142.0,258905.0,265.0,98.0,317.0,8.509020461379407,68.0,20134.325277777778,0.2652206351286581,54.12148866925973,perl
General,942.0,1331155.0,1710.0,365.0,2170.0,6.917408629047043,595.0,76068.62861111111,6.1092862621213975,27.013634294218154,perl
Network Security,311.0,597414.0,510.0,138.0,658.0,7.374409477809121,141.0,35858.201944444445,0.7035022094168464,48.263791904312,perl
Security,942.0,1722433.0,1591.0,473.0,2109.0,7.676029880006105,475.0,92910.32305555556,2.4456186387647025,42.23548729336679,perl
Authentication,189.0,422652.0,423.0,127.0,428.0,9.34180703579449,88.0,76215.09972222222,0.41197448857343055,73.51623832425906,go
Cryptography,407.0,807211.0,1011.0,370.0,1067.0,10.409543476767231,252.0,153189.8827777778,0.928025559905183,64.3607858389168,go
General,809.0,1649677.0,1945.0,514.0,1660.0,8.941263863419987,474.0,74513.80944444443,3.5102540969511002,33.089443555211105,go
Network Security,213.0,471968.0,584.0,220.0,407.0,10.464199703644882,114.0,30188.983888888888,0.5023868283024835,48.24233658843795,go
Security,809.0,1701831.0,2018.0,717.0,1902.0,10.225705797077676,454.0,259593.96638888892,1.8423868767810971,63.08636104960691,go
Authentication,408.0,744519.0,530.0,132.0,767.0,6.161977021096566,167.0,66164.23638888891,1.6076722784450452,46.50037884149298,typescript
Development,367.0,872664.0,1065.0,235.0,663.0,9.452103107628904,196.0,75332.91750000003,2.293242635178037,39.474344249084396,typescript
General,856.0,1427940.0,1603.0,303.0,1475.0,6.606870098286805,449.0,140978.88194444447,4.812904717275666,38.22299737436961,typescript
Network Security,81.0,475195.0,407.0,83.0,145.0,15.249059980260867,49.0,2586.358888888889,0.3681043407190062,22.646561072928826,typescript
Security,856.0,2092378.0,2002.0,450.0,1575.0,8.623340955057543,412.0,144083.5127777778,4.269019254342089,41.23704858092587,typescript
