answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
,2016-03-30 11:19:56.09 UTC,27,36307269,solv two warn found flawfind answer exampl correct code? final result one line 48 one line 36,0.1111111111111111,3,c c++ flawfinder security warnings,solv flawfind warn cwe-78 cwe-120,2,security|cwe,0.857610285282135
try someth open sourc openssl person use md5 hash function work pretti well.you want take look hashlib2++ far know intel made dedic instruct sha-1 two upcom architectur codesinchao indic comment major compon hash algorithm xor oper alreadi instruct x86 instruct acceler sha sha1/2/256/512 encoding? novemb 2016 answer final yes sha-1 sha-256 extens sha-224 intel cpu sha extens hit market recent look processor support goldmont microarchitectur pentium j4205 desktop pentium n4200 mobil celeron j3455 desktop celeron j3355 desktop celeron n3450 mobil celeron n3350 mobil look offer amazon machin architectur processor number find avail yet believ hp acer one laptop pentium n4200 expect avail novemb 2016 decemb 2016 meet test need technic detail sha-1 sha-224 sha-256 see crypto arm64/sha256 - add support sha256 use neon instruct kernel crypto mail list short answer sha-256 thing easili paralleliz find sourc code intel sha intrins armv8 sha intrins noload github | sha-intrins c sourc file provid compress function sha-1 sha-224 sha-256 intrinsic-bas implement increas throughput approxim 3× 4× sha-1 approxim 6× 12× sha-224 sha-256 intel upcom instruct acceler calcul sha1 /256 hash read detect cpu support sha-512 still need manual vector regular simd instruct avx512 help sha-512 sha-1 / sha-256 cpu avx512 sha extens provid simd rotat well shift exampl https://github.com/minio/sha256-simd hope intel skylak microarchitectur intel cpu low-pow goldmont 2016 goldmont plu 2017 intel first mainstream cpu sha extens cannon lake skylak / kabi lake / coffe lake amd ryzen 2017 sha extens c/c++ programm probabl best use openssl whatev cpu featur hash quickli includ sha extens cpu version openssl new enough 2019 updat openssl h/w acceler present intel side goldmont µarch atom-seri cannonlak desktop/mobil 10nm onward sha-ni support cascad lake server cpu older support 2017 amd releas zen µarch current server desktop cpu base zen fulli support benchmark show 550% speed increas block size 8kib real 1gb 5gb file load ram hash roughli 3x time faster benchmark ryzen 1700 @ 3.6 ghz 2933cl16 ram openssl 1.0.1 support vs 1.1.1 support cpuid identif page 298 07h eax → ebx bit 29 == 1 intel instruct refer page 1264ff code exampl simd comparison minio/sha256-simd,2013-12-19 21:51:29.767 UTC,376,20692386,exampl x86 instruct hardwar acceler aes x86 instruct acceler sha sha1/2/256/512 encod librari fastet encod sha x86,0.16489361702127658,62,c c++ cryptography sha x86,x86 instruct acceler sha sha1/2/256/512 encod,8,crypt|sha|encode|aes|openssl|md5|hash|availability,0.8308395743370056
c++ fuzzylit java jfuzzylog fuzzylit http://code.google.com/p/fuzzylite/ fuzzylit multiplatform free open-sourc fuzzi logic control librari written c++ releas apach licens 2.0 make softwar freeli avail commerci non-commerci idea behind librari simpl light-weight fuzzi control simpl simpl simpl understand simpl extend without sacrif perform free fuzzi logic librari ffll . http://ffll.sourceforge.net,2012-06-21 19:19:46.193 UTC,81,11145253,need implement ai game base fuzzi logic need evalu posit tower defens game coupl rule add anyon suggest open sourc fuzzi logic librari c++ code exampl,0.1728395061728395,14,c++,open sourc fuzzi logic librari,4,fuzz|defense|availability|forge,0.7587147355079651
ntl::crt implement call increment chines remaind numer method iter solv system simultan congruences.so increment chines remaind goal result chines remaind theorem former solv system two simultan congruenc one iter second iter solv system output 1-st iter third congruenc find gcd three number = gcdgcdn1 n2 n3.let demonstr ntl::crt calcul classic chines remaind theorem give result follow exampl system congruenc find = b1 mod m1 = b2 mod m2 = b3 mod m3 == 93 let solv system ntl librari two crt call output 1st iter -7 p 20 2nd iter -47 p 140 result == 93 -47 + 140 == 93 classic chines remaind algorithm,2014-10-31 19:32:25.003 UTC,388,26682128,"work cryptographi project requir ntl big num librari particular librari crt function gener public key crt function librari standard chines remaind theorem algorithm modifi version troubl understand exactli work crta,b,c,d tell crt return 1 a%b == c%d alway case follow result b = 5 = 6 a=c random integ 1-6 a%b 3 c%d 3 crt 1 a%b 0 c%d 5 crt 1 a%b 2 c%d 2 crt 0 a%b 1 c%d 1 crt 0 a%b 4 c%d 4 crt 1 a%b 1 c%d 0 crt 1 code crt function librari zz librari specif type use repres larg number inform provid librari skill discret math anyon explain layman term exactli function does? chines remaind version new v3.7 significantlysimpl faster previou version function take input g g p,such > 0 0 &lt;= g &lt p gcda p = 1.it comput = a*p g * g = g mod * g = g mod p * -a /2 &lt g &lt;= /2.it set g := g := return 1 iff g chang normal input valu g satisfi -a/2 &lt g &lt;= a/2;howev document enforc earlier versions,so maintain backward compat restrict placedon g routin run faster though -a/2 &lt g &lt;= a/2,and first thing routin make conditionhold normal p odd howev routinewil still work even routin base follow simpl fact let -a/2 &lt g &lt;= a/2 let h satisfi * g + h = g mod p * -p/2 &lt h &lt;= p/2.further p = 2*h g > 0 g := g - h;otherwis g := g + h.then g defin satisfi requirements.it trivial see g satisfi congruenc conditions.th thing check balanc condit -a /2 &lt g &lt;= /2 hold",0.010309278350515464,4,c++ cryptography,troubl understanding/us modifi crt function,3,crypt|public key|signing,0.6602936387062073
great built-in abil qt integr c++ javascript code easili possibl make avail script engin take look make applic scriptabl,2013-01-14 19:46:46.91 UTC,47,14325501,inject javascript qtwebkit invert process? runnin c++ method javascript? thought pars file c++ includ prefix call javascript detect call accomplish,0.2127659574468085,10,c++ qt qt4,run c++ method javascript qtwebkit,4,scripting|inject|integrity|availability,0.5866962671279907
swift current directli interact c++ wrap everyth objc interfac objc++ implement go work crypto++ fine need algorithm avail commoncrypto person write low-level stuff pure c++ ui work swift use small objc++ interfac layer read result alway recommend minim objc++ footprint even wrote objc rather swift recommend write ui code pure objc engin c++ put thin objc++ layer note strong bia objc++ burn lousi tool support perform impact mani time everi releas clang made objc++ bit better possibl day bia accur objc++ fine languag work think day today think swift++ come true anyway,2014-09-28 10:27:30.18 UTC,155,26083954,read meta believ best place question sure belong specif code question appl swift program languag suitabl cryptographi intens ios/mac os x project?whi question concern swift inter compat objective-c sure compat c++ crypto libraries? think use c++ librari crypto side app eg crypto++ anyon integr librari swift app? feasibl best option objective-c++ wrapper librari objective-c,0.06451612903225806,10,c++ cryptography objective-c swift,c++ crypto librari appl swift,3,crypt|integrity|availability,0.5682598352432251
"use pkcs#11 cryptoapi function pkcs#11 primarili use talk hardwar token everi hardwar vendor implement pkcs#11 interfac hardwar token etoken,then safenet one safenet cryptoapi csp talk token cryptoapi provid rich function handl certif present token",2012-11-10 09:02:33.86 UTC,130,13320685,safenet authent usb token given compani told digit public key certif insid gave password softwar see detect certif insid need access token certif need sign encrypt decrypt use develop code compani gave sdk everyth c++ microsoft cryptoapi search googl sure right direct code give correct handl usb store certif thought give default connect certif either smart card token tri ms_scard_prov well thought give access usb token seem smart card token desper complet task pleas guid show correct tutori expert know suggest done kind task,0.16923076923076924,22,c++ cryptoapi mscapi pki token,microsoft crypto api usb dongl follow pkcs#11,9,crypt|pki|safe|authentication|public key|certificate|password|signing|encrypt,0.566326379776001
pari/gp sourc download use git examin sourc onlin link lll section http://pari.math.u-bordeaux.fr/cgi-bin/gitweb.cgi?p=pari.git;a=blob;f=src/basemath/lll.c#l504,2014-07-22 04:48:48.63 UTC,41,24879127,know pari/gp function perform lll algorithm base howev possibl look code pari/gp library? anyon know lll algorithm work pari/gp librari,0.024390243902439025,1,c c++ cryptography mathematical-lattices pari-gp,code lll algorithm pari/gp,1,crypt,0.5330307483673096
,2017-04-24 07:56:53.21 UTC,22,43582671,tri access pkcs11 cryptograph token c++ window solut connect pkcs#11 librari dll c+,0.09090909090909091,2,c++ cryptography pkcs#11,c++ wrapper pkcs#11 librari dll window,1,crypt,0.5313203930854797
test emscripten seem asm.j put gener javascript optim level compil need pass higher level compil specifiy optim level pass put gener javascript 10k line javascript quit modest consid must includ function equival system librari libc etc.. live separ file execut c++ compil sourc - browser execut javascript sandbox cannot access system lib target comput due secur os neutral .. instanc ldd command dynam link c/c++ execut gain appreci bulk 10k line javascript replac give tip use asm.j emscripten https://hacks.mozilla.org/2014/11/porting-to-emscripten,2014-12-05 12:59:20.02 UTC,138,27316456,cours univers demonstr asm.j found tutori http://www.sitepoint.com/understanding-asm-js/ exactli look creat given c++-file compil emscripten.th result nearli 10000-line long file nowher find asm-stat comparison handwritten javascript-fil much slower use portabl emscripten-sdk-packag updat use emscripten gener good asm-code? update:i found differ solut demonstr without emscipten https://gist.github.com/dherman/3d0b4733303eaf4bae5 .mayb someon need,0.13768115942028986,19,asm.js c++ emscripten javascript,bad result emscripten compil c++ javascript & asm.j,4,scripting|sandbox|security|hack,0.5284779667854309
export gmp integ constructor import,2011-01-11 06:10:59.92 UTC,41,4654731,use gmp perform complex oper want botan perform cryptographi function problem bigint function creat problem suppli bigint valu use gmp function botan function anyon help,0.04878048780487805,2,bigint botan c++ cryptography gmp,bigint convers gmp bigint botan bigint,1,crypt,0.4913121163845062
order pass arg html/j qt via qwebengin qwebchannel prerequisit task first creat qt object interact html/j h file cpp file regist object mainwindow add qwebchannel.j file link html resourc index.html javascript side login.j,2017-10-23 15:58:54.45 UTC,79,46893649,creat easi login form html submit button click javascript function check login correct put file qrc file qt wrote code run program login.pro mainwindow.h mainwindow.cpp index.html login.j want pass usernam password html qt click button implement qwebchannel,0.12658227848101267,10,c++ html javascript qt qtwebengine,pass data html qt,4,scripting|login|username|password,0.48420852422714233
like return curv curve25519 gear probabl go function correctli use standard thing shown scalar multipl secp521r1 use crypto++ fact run follow code code result except domain paramet miss curve25519 gear special crypto++ rather use librari underli class typic field oper object use constant time implement andrew moon call donna librari wrap moon donna code provid expect oper use crypto++ object howev . provid expect oper stop precis lower-level object interfac tri want take look function avail scalar multipl look first use basepoint 9 second allow specifi arbitrari basepoint privat header expos miss curv oper howev donna still miss function though probabl export need see crypto++ wiki scalar multipl secp521r1 use crypto++ stack overflow wiki page actual discuss problem crypto++ librari use andrew moon constant time ed25519-donna curve25519 gear appear compar public key object crypto++ librari mostli facad crypto++ class wrapper around moon code present expect interfac caller side effect integr gener point curv groupparamet perform arbitrari calcul curve25519 reason curve25519 special need provid gear want avoid lot chang requir properli support librari support short weierstrass curv well nearli support edward twist edward curv eventu curve25519 properli ad librari,2019-08-06 10:45:22.707 UTC,209,57374274,multipli basepoint scalar number except thrown take gener basepoint curv,0.06698564593301436,14,c++ crypto++ cryptography curve-25519 elliptic-curve,curve25519 base point multipl use crypto,4,crypt|availability|public key|integrity,0.47748273611068726
"mac detect state cap lock key follow creat .h / .mm file pair includ file qt pro file follow myfile.h add following. myfile.mm add follow order includ / import important. post veroniqu lefrer qt interest mail list answer wait user press key wait qt::key_capslock type qkeyev handler event filter event qevent::keypress? write kde gener qt kmodifierkeyinfo::iskeylock warn test code sampl sinc seem cross-platform qt-nativ want write sever platform-depend way select right platform case qt forum articl answer put sourc file qt event process file need user press key check upper case shift held.if shift held,and input uppercase,cap lock on.also shift down,and input lowercase,cap lock base ken bloom answer made qt project exampl demonstr key ux pattern relat particularli overrid qdialog::ev catch cap lock everi time critic https://github.com/savolai/qt-widgets-password-dialog-with-caps-lock-check realli comment biber answer enough rep post :p idea someth read never tri :s know shift press seen qt::keyboardmodifi detect qt::keyev ? shift modifi useful.btw saw key call qt::key_capslock detect key event read link bug report link comment narek question seem featur avail think someth similar biber suggest avoid wait user press key mayb fire/simul keyboard event put letter qlineedit check biber said letter upper case shift press then. etc.and final delet content qlineedit hope happen fast enough avoid user notic :p somewhat ugli work around work let know does! sove problem alreadi use qtooltip qt - appli qtooltip qlineedit inform user cap lock stat use cours function get current state getkeystatevk_capit disadvantag work window",2010-06-03 17:29:24.47 UTC,266,2968336,qt-built-in method warn user pop-up window capslock switch password field active? current use good?,0.018796992481203006,5,c++ capslock passwords qt,qt - password field warn caps-lock,2,password|availability,0.43936070799827576
put answer correct function,2013-10-18 09:14:27.347 UTC,88,19445861,base64-encod sha1 hmac found adafruit cryptosuit fork stripped-down sha1 fork cathedrow librari want abl chat arduino python app use base64 encod sha1-hmac signatur howev seem gener consist result arduino follow gener sha1-hmac string test want base64 encod adafruit tweet exampl appear tidi function realis expect sha1-hmac noth els output well look python side output clearli two differ unfortun use arduino/c++ much familiar python side obviou mistak tri librari use inadequ purpose? thank,0.125,11,arduino base64 c c++ python,issu talk arduino sha1-hmac base64 encod python,4,hmac|encode|crypt|signature,0.4366833567619324
relationship smart card token cryptograph provid window capi moreov token support sever provid good practic smart card token develop implement smart card minidriv microsoft base smart card crypto provid obligatorili upd:if sever token plug pc need manual smart card reader properti provid list avail reader got scardlistread function provid mix key reader singl pool,2013-03-19 17:10:14.647 UTC,93,15506077,use ms capi api use usb token digit sign use cryptacquirecontext print name csp avail know csp associ plugged-in usb token? moreov multipl token plug computer? applic suppos choos csp,0.10752688172043011,10,c++ cryptography digital-signature hsm mscapi,identifi csp provid cryptoapi,5,crypt|signing|signature|hsm|availability,0.4271236062049866
search internet found anoth soft token new soft token instead nss new soft token opencryptoki see token fallow link http://www.ibm.com/developerworks/linux/library/s-pkc,2013-05-05 11:24:26.5 UTC,45,16384004,want nss network secur servic use aes function pkcs#11 interfac find exampl c++ call pkcs#11 function,0.17777777777777778,8,aes c++ nss pkcs#11,use nss call pkcs#11 function,4,aes|nss|security|encrypt,0.4166088104248047
,2018-06-22 04:20:41.013 UTC,73,50980632,work minidriv project gener keypair smartcard gener keypair test applic check keypair exist specifi contain name found delet check contain exist name use ncryptopenkey work perfectli return key handl contain avail smartcard minidriv keypair label smart card show dialog select smart card natur show card select dialog? stop show card select dialog minidriver? ncryptopenkey simpli return scard_e_no_key_contain 0x80100030,0.0958904109589041,7,c++ cng cryptoapi cryptography smartcard,stop show smartcard select dialog ncryptopenkey minidriv key contain avail,2,crypt|availability,0.4074397683143616
small updat run error answer question openssl> req -x509 -day 365 -newkey rsa:2048 -keyout any.pem -out any.pem pass phrase = secret openssl> req -new -key -any.pem -out server.csr openssl> x509 -req -in server.csr -signkey any.pem -out rootcert.pem,2017-07-31 19:04:45.567 UTC,67,45423486,"-----begin certificate-----mii . 1ozy-----end certificate----------begin rsa privat key-----proc-typ 4,encrypteddek-info des-ede3-cbc,0950752701cb74af omald . hwh8gkd-----end rsa privat key---",0.2537313432835821,17,c++ poco-libraries ssl,renew expir creat self-sign certif key any.pem poco c++ use openssl,8,ssl|signing|certificate|openssl|rsa|private key|encrypt|cbc,0.40304312109947205
problem buffer restor leav scope file stream creat still hold pointer buffer eventu tri write believ one option make creat class reassign origin buffer scope left exampl use,2014-03-02 06:39:46.973 UTC,288,22124689,redirect standard output data std::ofstream buffer write data file follow code implement implement code singl .cpp itget execut dada gete write file.but follow scenarion differ .cpp function true get call want call whole c++ project ever std::cout&lt;print data\n data print file.but code compil fine run time throw follow error receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10365 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10365 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken.qgtkstyl unabl detect current gtk+ theme.qt session manag error none authent protocol specifi support place follow code main run time std::cout data gete write file ut throw follow error solv error receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10777 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken process:10777 gconf-warn ** client fail connect d-bu daemon:did receiv repli possibl caus includ remot applic send repli messag bus secur polici block repli repli timeout expir network connect broken.qgtkstyl unabl detect current gtk+ theme.qt session manag error none authent protocol specifi support,0.034722222222222224,10,azure c++ c++11 qt security,redirect std:cout std::ofstream get error,3,security|authentication|signing,0.40163183212280273
crypto++ mention pss emsa openssl support rsa-pss http://www.openssl.org/docs/apps/pkeyutl.html#rsa_algorithm well librari bouncycastl well look http://fixunix.com/openssl/526614-signing-verifying-messages-rsassa-pss.html try implement one look one perfectli work,2011-06-13 11:20:14.227 UTC,51,6329722,need sign data use rsassa-pss emsa-pss encod openssl support algorithm .can tell open sourc librari avail this.,0.39215686274509803,20,c++ digital-signature openssl rsa shared-libraries,librari support rsassa-pss emsa-pss encod techniqu certif validation.,9,signing|signature|openssl|rsa|encode|certificate|validate|availability|crypt,0.3980483114719391
,2019-05-09 17:19:46.287 UTC,68,56064527,seem opencv.j expos flood fill due raw rect pointer signatur base answer tri remov floodfil blacklist white list add line 3587 imgproc.hpp wrapper signatur floodfil copi past answer howev fail error fulli remov wrapper function becom avail javascript call undefin except thrown tri chang signatur wrapper addit dummi int string float custom structur fail compil anyon abl expos floodfil js,0.11764705882352941,8,c++ compilation javascript opencv,anyon abl floodfil opencv.j,5,scripting|signature|blacklist|white list|availability,0.37925463914871216
found bug im realli sure libopenssl bug. problem buffer size evp_max_md_size! opinion strang thing keep size uninitialized! even 0 - size_t size strang thing alloc memori dont understand undefin size memori get alloc realli weird libopenssl intern set size back 0 alloc memori detect brows libopenssl sourc code,2016-12-08 11:00:00.06 UTC,121,41037811,tri gener rsa signatur libopenssl c++:but run code sigabrt deep debug libopenssl intern stuff see segfault come come later first want make clear rsa privatekey success load .pem file im pretti sure problem origin question avoid sigabrt caus ? b.sc thesi realli appreci help signatur gener function rsa* rsapk = dynamic_castpk->createopensslrsakeyobject sigabrt origin file openssl/crypto/mem.c stacktrac stacktrac screenshot debugg clion - gdb base,0.17355371900826447,21,c++ digital-signature openssl rsa,avoid sigabrt gener rsa signatur evp_signfin,5,signing|signature|openssl|rsa|crypt,0.34044209122657776
sometim happen call fals posit viru total see witch av classifi program viru sort thing happen everi fals posit rather anyth flaw program chanc compil program someth common signatur use av tool identifi viru send program av vendor fix signatur av softwar attempt detect secur flaw buffer overrun effect almost softwar detect malwar,2012-10-27 14:43:10.033 UTC,112,13101150,extrem surpris find av program isp base kaperski detect one c++ program i.e test.ex viru code gener visual studio 2010 use debug configur surprisingli releas version viru report viru gen:variant.symmi.3690 result complet dead end googl search howev got think program sort secur flaw e.g buffer overrun av tool believ capabl exploit thought,0.13392857142857142,15,c++ virus,program classifi viru secur flaw,5,virus|security|exploit|signature|malware,0.3230922222137451
